标题,作者,译者,出版社,价格,评分,简介,详细链接
未来产品的设计,Donald A.Norman,刘松涛,电子工业出版社,39.00,7.5,本书是Donald A. Norman继《日常物品设计》和《情感化设计》之后的又一力作，讲述的是未来产品的设计，重点在于在人机交互方面的设计。书中对未来产品...,https://book.douban.com/subject/3817241/
秩序之美,Vinh, ,人民邮电,35.00元,7.7,"怎样才能设计出简洁大方而不落于俗套的超人气网站？纽约时报网站的资深设计师Khoi Vinh在这《秩序之美——网页中的网格设计》一书中将为你揭示其中的奥秘。
...",https://book.douban.com/subject/6393626/
精益创业UX篇——高效用户体验设计,(美)Laura Klein, ,郭晨、马伟,2016-3,7.4,"创业需要好的设计，精益创业的用户体验设计是一种更快更智能的用户体验设计方法。
本书讲述了众多精益用户体验设计的特点，通过多角度的学习读者将学会更精益、更好、...",https://book.douban.com/subject/26741022/
交互设计,李世国、顾振宇, ,中国水利水电出版社,52.00元,7.4,《交互设计》全面介绍了交互设汁的起源、基本概念和交互系统的组成以及交互设计过程中的主要方法、原则和评估技术。全书共9章，第1-4章阐述了交互设计的基础，包括...,https://book.douban.com/subject/10435874/
這就是服務設計思考,Marc Stickdorn、Jakob Schneider,池熙璿,中国生产力中心,TWD 900,8.1,哈彿大學管理策略大師麥可．波特（Michael Porter）於去年5月31日在FSG Shared Value Leadership 高峰會談中提出，未來...,https://book.douban.com/subject/25908518/
魔法师与他的学徒们：MIT媒体实验室的创新密码,FRANK MOSS, ,中信出版集团股份有限公司,CNY 58.00,评价人数少于10人,暂无简介,https://book.douban.com/subject/26929958/
Talk to Me,"Jamer Hunt (Author)、Alexandra Midal (Author)、Paola Antonelli (Author, Editor)", ,"The Museum of Modern Art, New York",USD 35.00,8.3,"Since the introduction of the personal computer in the early 1980s, many objec...",https://book.douban.com/subject/6796583/
Interaction Design,Helen Sharp、Yvonne Rogers、Jenny Preece, ,John Wiley & Sons,GBP 49.99,8.1,"The classic text, Interaction Design by Sharp, Preece and Rogers is back in a ...",https://book.douban.com/subject/2050858/
交互式系统原理与设计,奥沙利文, ,第1版 (2006年7月1日),45.0,8.3,本书深入浅出介绍了人机交互系统的原理与应用，内容涉及电子原理基础、设备选型、建立集成电路、微处理编程、计算机通信、转换和交互设计、传感控制、设备间通信、声光...,https://book.douban.com/subject/1844685/
Sketching User Experiences,Saul Greenberg、Sheelagh Carpendale、Nicolai Marquardt、Bill Buxton, ,Morgan Kaufmann,GBP 12.99,评价人数少于10人,暂无简介,https://book.douban.com/subject/4726062/
