"filename", "language", "Jupyter", "Python", "Markdown", "CSV", "YAML", "Excel", "Log", "XML", "C++", "C", "comment", "blank", "total"
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\xunhuan\11.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\xunhuan\11.py", "Python", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\xunhuan\12.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 1, 19
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\xunhuan\13.py", "Python", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\xunhuan\14.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\xunhuan\15.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 18
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\xunhuan\16.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 2, 31
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\xunhuan\17.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 17
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\xunhuan\18.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 3, 41
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\xunhuan\19.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 21
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\xunhuan\2.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 2, 30
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\xunhuan\20.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 11
